campaign_id,campaign_name,status,period_a_start,period_a_end,period_a_sent,period_a_replies,period_a_positive_replies,period_a_bounces,period_b_start,period_b_end,period_b_sent,period_b_replies,period_b_positive_replies,period_b_bounces
3136910,Pacific Color | SAAS | SKO,PAUSED,2026-04-05,2026-04-18,3464,53,5,56,2026-04-19,2026-05-02,2168,8,0,14
3136906,New campaign,PAUSED,2026-04-05,2026-04-18,3,1,1,0,2026-04-19,2026-05-02,0,0,0,0
3136902,Diskko | Health & Wellness Ecom | AOV,ACTIVE,2026-04-05,2026-04-18,610,25,5,21,2026-04-19,2026-05-02,3261,32,5,35
3136897,Merch.com | Gaming | Launch Fallback,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,5164,34,9,58
3136895,Diskko | Health & Wellness Ecom | Loyalty,ACTIVE,2026-04-05,2026-04-18,653,36,2,27,2026-04-19,2026-05-02,3879,73,19,40
3136893,One Point | Manufacturing | Events,PAUSED,2026-04-05,2026-04-18,4088,73,15,123,2026-04-19,2026-05-02,8510,89,6,84
3136892,All Ways Advertising | Hotels Apr 8 | Guest Gitfs,PAUSED,2026-04-05,2026-04-18,7724,318,44,165,2026-04-19,2026-05-02,0,1,1,0
3136891,Diskko | Hotels | Guest Shops,PAUSED,2026-04-05,2026-04-18,626,32,1,2,2026-04-19,2026-05-02,2119,36,2,15
3136889,"NBS Promos, Inc. | Equipment Rental | Event Fallback",ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3065,21,3,19
3136886,Kept | AI Companies | New Hires Angle,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,2184,54,18,5
3136884,Promo4th | Mining 1 | Events 1,COMPLETED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1562,19,2,22
3136866,Shirt Stop | HVAC | EVENT FALLBACK,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3162,39,6,19
3136862,Merch.com | Gaming | Launch 1,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1630,12,2,7
3136861,One Point | Hospitals | Nurses week,COMPLETED,2026-04-05,2026-04-18,9234,150,27,272,2026-04-19,2026-05-02,1830,14,5,17
3130622,Steamboat Marketing | Accounting | Corporate Gifting,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1014,16,1,4
3130618,Promo4th | Mining 1 | Events 1 Fallback,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,7925,65,16,54
3130616,Merch.com | Gaming | Event Fallback,COMPLETED,2026-04-05,2026-04-18,4703,91,17,108,2026-04-19,2026-05-02,853,5,1,17
3130615,Merch.com | Gaming | Events Full,PAUSED,2026-04-05,2026-04-18,840,12,1,9,2026-04-19,2026-05-02,0,0,0,0
3130580,Pacific Color | IT Firms | Employee Gifting,ARCHIVED,2026-04-05,2026-04-18,621,16,2,3,2026-04-19,2026-05-02,0,0,0,0
3127826,New campaign,PAUSED,2026-04-05,2026-04-18,98,1,0,2,2026-04-19,2026-05-02,0,0,0,0
3121856,Steamboat | Campaign#7 | V1 | Retail | Admin Day Gifts,COMPLETED,2026-04-05,2026-04-18,5048,83,29,52,2026-04-19,2026-05-02,0,0,0,0
3121228,MSP | Campaign#1 | V1 | IT Firms - Event Trigger,COMPLETED,2026-04-05,2026-04-18,5005,39,6,44,2026-04-19,2026-05-02,0,0,0,0
3115946,Merch.com | Campaign#4 | V1 | Project Name,PAUSED,2026-04-05,2026-04-18,2820,20,5,22,2026-04-19,2026-05-02,0,0,0,0
3110587,Steamboat | Campaign#6 | V1 | Marketing | New York ,COMPLETED,2026-04-05,2026-04-18,2375,16,3,7,2026-04-19,2026-05-02,2,0,0,0
3105109,Perfect Imprints | Campaign#6 | V1 | Cyber securitySecurity Relaunch,PAUSED,2026-04-05,2026-04-18,8094,101,13,37,2026-04-19,2026-05-02,4269,43,6,34
3085103,Cedar Promo | Campaign#4 | V1 | HR | Texas,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,3530,46,4,29
3085042,Imprint Engine | Campaign#1 | V1 | Fintech - Employee Gifting - Updated Scripts,COMPLETED,2026-04-05,2026-04-18,0,1,1,0,2026-04-19,2026-05-02,0,0,0,0
3084933,Doing Good Works | Campaign#1 | V1 | Sales | California,PAUSED,2026-04-05,2026-04-18,4067,73,11,23,2026-04-19,2026-05-02,224,4,1,2
3084691,Doing Good Works | Campaign#1 | V1 | HR | California ,ACTIVE,2026-04-05,2026-04-18,3910,120,13,47,2026-04-19,2026-05-02,2718,33,6,24
3084289,Imprint Engine | Campaign#1 | V1 | Tech| Corporate Gifting  - Updated Scripts,PAUSED,2026-04-05,2026-04-18,253,3,1,30,2026-04-19,2026-05-02,0,1,1,0
3079812,NBS | Campaign#2 | V1 | Home Services,COMPLETED,2026-04-05,2026-04-18,837,9,3,7,2026-04-19,2026-05-02,0,0,0,0
3079364,MSP Design | Campaign#5 | PI firms | Referral,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,0,1,1,0
3074772,Doing Good Works | Campaign#1 | V1 | Marketing | California,PAUSED,2026-04-05,2026-04-18,4455,97,11,26,2026-04-19,2026-05-02,3190,40,13,20
3074426,NBS | Campaign#1 | V1 | Hospitals - Employee Gifting ,COMPLETED,2026-04-05,2026-04-18,9507,136,27,86,2026-04-19,2026-05-02,333,15,2,1
3060552,Mehco | Campaign#4 | V1 | HR ,COMPLETED,2026-04-05,2026-04-18,2915,51,7,43,2026-04-19,2026-05-02,8,0,0,0
3051823,Mehco | Campaign#2 | V1 | Marketing | North Carolina ,COMPLETED,2026-04-05,2026-04-18,3256,41,5,33,2026-04-19,2026-05-02,831,6,2,2
3043885,Diskko | Campaign#4 | V1 | CPG Brands - World Cup Angle,PAUSED,2026-04-05,2026-04-18,5297,78,10,57,2026-04-19,2026-05-02,2,0,0,0
3043726,Perfect Imprint | Campaign#4 | V1 | Sales | Florida,PAUSED,2026-04-05,2026-04-18,0,1,0,0,2026-04-19,2026-05-02,0,0,0,0
3043631,Mehco | Campaign#2 | V1 | Sales | North Carolina,ACTIVE,2026-04-05,2026-04-18,1928,44,1,26,2026-04-19,2026-05-02,3905,30,7,50
3018773,Steamboat Marketing| Campaign 1| V1 | CPG Brands - copy,PAUSED,2026-04-05,2026-04-18,0,1,1,0,2026-04-19,2026-05-02,0,0,0,0
3013746,The Shirt Stop | Campaign#2 | V1 | HR | Utah ,ACTIVE,2026-04-05,2026-04-18,3548,51,4,9,2026-04-19,2026-05-02,4247,48,7,24
3013401,The Shirt Stop | Campaign#2 | V1 | Marketing | Utah ,ACTIVE,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,1882,29,3,14
3012980,Parabolic| Campaign 2| V1 | CPG SNACK BRANDS - copy,PAUSED,2026-04-05,2026-04-18,400,1,0,6,2026-04-19,2026-05-02,0,0,0,0
3012795,The Shirt Stop | Campaign#1 | V1 | Sales | Utah ,ACTIVE,2026-04-05,2026-04-18,1921,25,1,11,2026-04-19,2026-05-02,7027,72,10,41
3004605,Cedar Promo | Campaign#4 | V1 | Sales | Texas,ACTIVE,2026-04-05,2026-04-18,4707,48,8,49,2026-04-19,2026-05-02,7697,63,5,33
2990640,Imprint Engine | Campaign#1 | V1 | Fintech - Upcoming Event,PAUSED,2026-04-05,2026-04-18,0,1,1,0,2026-04-19,2026-05-02,0,0,0,0
2971286,Perfect Imprints | Campaign#3 | V1 | Recruiting - Employee Gifting ,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,0,1,1,0
2967280,VOX Marketing | Campaign#2 | V1 | B2B SaaS - Employee Gifting,PAUSED,2026-04-05,2026-04-18,13079,167,23,241,2026-04-19,2026-05-02,214,2,1,2
2962686,Promo 4th | Campaign#5 | V1 | Sales | Ohio  ,ACTIVE,2026-04-05,2026-04-18,4702,87,9,42,2026-04-19,2026-05-02,3227,35,4,32
2956465,Kept | Campaign#6 | V1 | Sales | Midwest,ACTIVE,2026-04-05,2026-04-18,2733,45,3,23,2026-04-19,2026-05-02,3449,36,5,18
2956441,Kept | Campaign#4 | V1 | Marketing | Midwest ,ACTIVE,2026-04-05,2026-04-18,5068,63,14,42,2026-04-19,2026-05-02,2802,19,2,20
2948898,Promo 4th | Campaign#5 | V1 | Marketing | Ohio ,COMPLETED,2026-04-05,2026-04-18,6151,66,17,26,2026-04-19,2026-05-02,101,3,1,0
2895880,Diskko | Campaign#3 | V1 | CPG Brands - No Merch,PAUSED,2026-04-05,2026-04-18,0,1,0,0,2026-04-19,2026-05-02,0,0,0,0
2895832,Diskko | Campaign#2 | V1 | CPG Brands - Sells Merch,PAUSED,2026-04-05,2026-04-18,0,1,1,0,2026-04-19,2026-05-02,0,0,0,0
2885866,MSP Design | Campaign#1 | V1 | Accounting| Employee Gifting ,PAUSED,2026-04-05,2026-04-18,0,1,0,0,2026-04-19,2026-05-02,0,0,0,0
2885753,Video 2,COMPLETED,2026-04-05,2026-04-18,9,1,1,0,2026-04-19,2026-05-02,0,0,0,0
2767130,Steamboat Marketing | Campaign#2 | V1 | B2B SaaS - Case study merch,PAUSED,2026-04-05,2026-04-18,0,0,0,0,2026-04-19,2026-05-02,0,1,1,0
2759968,Video,PAUSED,2026-04-05,2026-04-18,0,1,1,0,2026-04-19,2026-05-02,0,0,0,0
